STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
        183;2024041306;    9;    9.9;  90.0;eor
        183;2024041312;    9;   14.0;  82.0;eor
        183;2024041318;    9;   12.1;  85.0;eor
        183;2024041406;    9;    9.0;  78.0;eor
        183;2024041412;    9;   10.6;  69.0;eor
        183;2024041418;    9;    8.6;  72.0;eor
        183;2024041506;    9;    6.8;  84.0;eor
        183;2024041512;    9;    8.5;  76.0;eor
        183;2024041518;    9;    6.6;  95.0;eor
        183;2024041606;    9;    5.0;  94.0;eor
        183;2024041612;    9;    5.3;  87.0;eor
        183;2024041618;    9;    4.0;  86.0;eor
        183;2024041706;    9;    4.8;  83.0;eor
        183;2024041712;    9;    7.7;  78.0;eor
        183;2024041718;    9;    4.8;  76.0;eor
        183;2024041806;    9;    6.6;  87.0;eor
        183;2024041812;    9;    9.6;  45.0;eor
        183;2024041818;    9;    6.9;  79.0;eor
        183;2024041906;    9;    4.8;  93.0;eor
        183;2024041912;    9;    5.6;  89.0;eor
        183;2024041918;    9;    4.8;  93.0;eor
        183;2024042006;    9;    3.1;  67.0;eor
        183;2024042012;    9;    5.3;  58.0;eor
        183;2024042018;    9;    4.4;  73.0;eor
        183;2024042106;    9;    6.4;  76.0;eor
        183;2024042112;    9;    6.0;  65.0;eor
        183;2024042118;    9;    3.1;  60.0;eor
        183;2024042206;    9;    2.0;  79.0;eor
        183;2024042212;    9;    3.9;  59.0;eor
        183;2024042218;    9;    2.2;  63.0;eor
        183;2024042306;    9;    3.0;  68.0;eor
        183;2024042312;    9;    6.1;  59.0;eor
        183;2024042318;    9;    6.0;  67.0;eor
        183;2024042406;    9;    6.1;  69.0;eor
        183;2024042412;    9;    7.6;  70.0;eor
        183;2024042418;    9;    5.7;  80.0;eor
        183;2024042506;    9;    6.5;  87.0;eor
        183;2024042512;    9;    7.8;  72.0;eor
        183;2024042518;    9;    5.8;  86.0;eor
        183;2024042606;    9;    5.7;  82.0;eor
        183;2024042612;    9;    9.0;  78.0;eor
        183;2024042618;    9;    5.9;  89.0;eor
